topic_label,neg_rate,pos_rate,avg_pos_prob,count
Acoustic tone,0.03223684210526316,0.9677631578947369,0.967883,4560
Pickups,0.04621260343730108,0.953787396562699,0.95445275,7855
Setup / action,0.05333080280888214,0.9466691971911179,0.9467247,5269
Beginner learning,0.07869135980399222,0.9213086401960078,0.92116493,13877
Guitar size,0.08573400034500604,0.914265999654994,0.91488147,5797
Playability / chords,0.10563127690100431,0.8943687230989957,0.8946793,5576
Accessories,0.13822166034555414,0.8617783396544458,0.8634971,9492
Visual appearance,0.15794527124339894,0.842054728756601,0.8426891,4166
Electronics / controls,0.1724137931034483,0.8275862068965517,0.82860255,2378
Fret / neck setup,0.2686188092925973,0.7313811907074027,0.73274976,13387
String quality,0.39987121699935607,0.6001287830006439,0.6026284,6212
Customer service / returns,0.4206262316619225,0.5793737683380775,0.5826683,9134
Tuning stability,0.49899396378269617,0.5010060362173038,0.5038392,5964
Shipping damage,0.5180063820088132,0.48199361799118673,0.4837253,6581
