topic,total,n_pos,n_neg,pct_pos,pct_neg
Shipping damage,4497,784,3713,17.4,82.6
String quality,4820,1328,3492,27.6,72.4
Tuning stability,5053,1678,3375,33.2,66.8
Fret / neck setup,10203,4439,5764,43.5,56.5
Customer service / returns,5466,2584,2882,47.3,52.7
Electronics / controls,1438,903,535,62.8,37.2
Accessories,7147,4835,2312,67.7,32.3
Visual appearance,3342,2303,1039,68.9,31.1
Setup / action,3844,3072,772,79.9,20.1
Playability / chords,4437,3612,825,81.4,18.6
Guitar size,4594,3767,827,82.0,18.0
Pickups,5162,4584,578,88.8,11.2
Beginner learning,12509,11421,1088,91.3,8.7
Acoustic tone,3649,3509,140,96.2,3.8
