topic_label,total,n_pos,n_neg,pos_pct,neg_pct,score
Acoustic tone,4560,4413,147,0.9677631578947369,0.03223684210526316,0.9355263157894738
Pickups,7855,7492,363,0.953787396562699,0.04621260343730108,0.9075747931253979
Setup / action,5269,4988,281,0.9466691971911179,0.05333080280888214,0.8933383943822357
Beginner learning,13877,12785,1092,0.9213086401960078,0.07869135980399222,0.8426172803920156
Guitar size,5797,5300,497,0.914265999654994,0.08573400034500604,0.828531999309988
Playability / chords,5576,4987,589,0.8943687230989957,0.10563127690100431,0.7887374461979915
Accessories,9492,8180,1312,0.8617783396544458,0.13822166034555414,0.7235566793088917
Visual appearance,4166,3508,658,0.842054728756601,0.15794527124339894,0.6841094575132021
Electronics / controls,2378,1968,410,0.8275862068965517,0.1724137931034483,0.6551724137931034
Fret / neck setup,13387,9791,3596,0.7313811907074027,0.2686188092925973,0.4627623814148054
String quality,6212,3728,2484,0.6001287830006439,0.39987121699935607,0.2002575660012878
Customer service / returns,9134,5292,3842,0.5793737683380775,0.4206262316619225,0.15874753667615504
Tuning stability,5964,2988,2976,0.5010060362173038,0.49899396378269617,0.0020120724346076035
Shipping damage,6581,3172,3409,0.48199361799118673,0.5180063820088132,-0.036012764017626486
