asin,n_qualifying_topics,store,price,avg_rating,parent_asin,price_num,has_description
B002RXXOX8,7,Davison Guitars,119.99,4.3,B09VVS2RYK,119.99,True
B000VSM4MS,6,Crescent,None,4.1,B000VSM4MS,,True
B002X49732,6,Crescent,None,4.1,B002X49732,,True
B006CYVD5E,6,Directly Cheap,None,4.1,B07JBY9878,,True
B0002F58TG,5,Jasmine,None,4.5,B083FTGJ5Z,,True
B06XBYZCGC,4,Smartxchoices,30.99,4.2,B081JWTT45,30.99,True
B004GEW3H4,4,Peavey,44.95,4.0,B004GEW3H4,44.95,True
B004BXLVO6,4,Pyle,55.99,4.1,B004BXLVO6,55.99,True
B07NVWHBBH,4,Pyle,59.99,4.1,B0BZLXRTSV,59.99,True
B07NVWXTQQ,4,Pyle,59.99,4.1,B0BZLXRTSV,59.99,True
B002RZCZ90,4,Davison Guitars,119.99,4.3,B09VVS2RYK,119.99,True
B00OJHISTK,4,Glen Burton,139.99,4.4,B01EYEUU8Y,139.99,True
B000S8CX7M,4,First Act,None,4.0,B000S8CX7M,,True
B0149YRRXA,4,Zivix,None,3.5,B01L1TXCVM,,True
B088G1R4DQ,3,Pyle,59.99,4.1,B0BZLXRTSV,59.99,True
B0107BCV1M,3,IVY,148.08,4.4,B0107BCV1M,148.08,True
B00A6D50L0,3,Epiphone,269.0,4.6,B0B7Z4Z88L,269.0,True
B003GWQJUE,3,Davison Guitars,None,4.2,B09VVV7CZ8,,True
B003YVLKF6,3,Jameson Guitars,None,4.4,B0799734T4,,True
B003YVRGN6,3,Jameson Guitars,None,4.4,B0799734T4,,True
B000ZMYRJS,2,Vox,53.75,4.3,B000ZMYRJS,53.75,True
B01MV7JXNT,2,Smartxchoices,78.99,4.3,B081VM8MMX,78.99,True
B0002F7IV2,2,Epiphone,169.0,4.4,B071RLH95D,169.0,True
B0002CZUV0,2,Epiphone,179.0,4.6,B0BGQG84Y4,179.0,True
B004BUAQEU,2,YAMAHA,194.84,4.5,B01J6N71G2,194.84,True
B00AGJKKH8,2,Epiphone,269.0,4.6,B0B7Z4Z88L,269.0,True
B000WN4J9S,2,Fender,None,4.8,B0B8Z76J32,,True
B00178SHJK,2,Crescent,None,4.1,B00178SHJK,,True
B0039OONBQ,2,Generic,None,4.0,B0039OONBQ,,True
B00FBRUSAE,2,Sawtooth,None,4.4,B00FBRUSAE,,True
B00O1QJ6KE,2,Music Alley,None,4.3,B07FNLCPVB,,True
