topic_label,neg_rate,pos_rate,avg_pos_prob,count
Gift / holiday purchase,0.008852459016393442,0.9911475409836066,0.9909246,6100
Kids music lessons,0.029308323563892145,0.9706916764361079,0.9703586,2559
Synthesizer / sound design,0.07675341861490957,0.9232465813850904,0.9228621,2267
Beginner learning,0.0924825626453113,0.9075174373546887,0.9078371,7742
MIDI controller / live performance,0.10336081166772353,0.8966391883322765,0.8966374,1577
Key feel / weighted keys,0.12171118698533842,0.8782888130146616,0.87864685,4979
Brand quality / acoustic feel,0.16161196510178646,0.8383880348982136,0.83877987,4814
Sustain pedal,0.17554479418886199,0.8244552058111381,0.825326,826
Sound quality / speaker,0.1988788040576615,0.8011211959423385,0.8018929,3746
Appearance / color / display,0.21655065738592422,0.7834493426140758,0.7844954,1293
Connectivity (USB/MIDI/phone),0.3156324582338902,0.6843675417661098,0.68680495,1676
Power supply & accessories,0.33230941077911197,0.667690589220888,0.6692827,3581
Durability / stopped working,0.4267662263067203,0.5732337736932798,0.5753467,1741
Returns / broken keys,0.6860955056179775,0.31390449438202245,0.31683716,5696
